Date,Store,Product,Category,Price,Quantity,Payment_Method,City,Customer_Age,Customer_Gender,Weekly_Sales,Holiday_Flag
2023-02-08,Store B,Vacuum,Home & Kitchen,1509.76,,Cash,New York,43.0,Female,3727.97,0
2023-06-04,Store D,Football,Sports,813.59,7.0,Online Payment,Chicago,19.0,Male,5997.06,0
2023-01-10,Store A,Football,Sports,504.67,6.0,Cash,Los Angeles,,Male,3608.06,0
2022-02-14,Store A,Basketball,Sports,389.39,4.0,Debit Card,Chicago,62.0,Female,1431.62,0
2022-10-08,Store C,Microwave,Home & Kitchen,324.65,,Cash,Los Angeles,31.0,Male,2512.16,0
2022-09-05,Store D,Cheese,Groceries,1082.21,9.0,Credit Card,Los Angeles,39.0,Female,10408.27,0
2023-05-05,Store D,Yoga Mat,Sports,172.83,7.0,Credit Card,Houston,52.0,Male,1357.39,0
2023-05-12,Store A,Football,Sports,1017.36,5.0,Credit Card,Chicago,68.0,Female,6035.83,0
2022-01-03,Store A,Headphones,Electronics,1632.59,6.0,Online Payment,Houston,42.0,,10277.24,0
2023-07-29,Store B,Smartphone,Electronics,831.94,6.0,Online Payment,Houston,51.0,Female,4684.85,0
2022-04-10,Store B,T-Shirt,Clothing,1751.99,9.0,Debit Card,Houston,42.0,Male,12637.68,0
2022-07-05,Store D,Blender,Home & Kitchen,559.87,8.0,Debit Card,Los Angeles,59.0,Female,4144.23,0
2023-12-29,Store C,Microwave,Home & Kitchen,990.95,3.0,Debit Card,New York,65.0,Female,3424.51,0
2022-02-22,Store B,Milk,Groceries,1608.9,6.0,Online Payment,New York,,Female,9897.78,0
2023-01-19,Store D,Coffee Maker,Home & Kitchen,74.65,,Cash,Phoenix,64.0,,85.19,1
2023-06-24,Store A,Bread,Groceries,1554.97,1.0,Cash,New York,59.0,Male,1384.16,0
2023-10-14,Store B,Microwave,Home & Kitchen,720.45,,Online Payment,Los Angeles,33.0,Female,3645.06,0
2023-06-20,Store D,Coffee Maker,Home & Kitchen,708.44,4.0,Cash,Houston,40.0,Male,2438.84,0
2023-12-15,Store A,Cheese,Groceries,1247.39,5.0,Online Payment,Houston,47.0,Male,5756.0,0
2023-03-13,Store C,Tennis Racket,Sports,1083.69,8.0,Debit Card,Los Angeles,50.0,Female,7848.74,0
2023-02-12,Store D,Bread,Groceries,118.82,6.0,,New York,45.0,Female,644.97,0
2023-01-22,Store A,Tennis Racket,Sports,,1.0,Cash,Phoenix,28.0,Female,399.86,0
2022-01-31,Store B,Bread,Groceries,1007.75,9.0,Credit Card,Houston,52.0,,7306.64,0
2023-05-12,Store D,Smartwatch,Electronics,520.57,2.0,Cash,Los Angeles,25.0,Male,1097.81,0
2023-10-24,Store C,Bread,Groceries,52.16,3.0,Cash,Chicago,27.0,Female,163.18,0
2023-10-22,Store A,Jeans,Clothing,480.39,1.0,Debit Card,Phoenix,49.0,Male,528.54,0
2023-01-11,Store C,Cheese,Groceries,571.24,5.0,Online Payment,New York,47.0,Female,2624.55,0
2023-12-11,Store B,Microwave,Home & Kitchen,950.95,5.0,Credit Card,Los Angeles,62.0,Male,5697.16,0
2023-02-09,Store B,Blender,Home & Kitchen,43.29,5.0,Cash,Houston,56.0,Male,238.99,0
